Indicator Id,Resource Id
2,7
2,10
2,16
2,17
2,24
2,25
2,27
2,29
2,33
2,35
2,61
2,73
2,82
2,86
2,87
2,88
2,90
3,3
3,6
3,18
3,25
3,26
3,28
3,30
3,31
3,35
3,59
3,78
3,80
3,82
3,85
3,87
3,89
4,6
4,17
4,28
4,32
4,35
4,57
4,60
4,62
4,76
4,82
4,88
5,3
5,10
5,18
5,24
5,28
5,29
5,31
5,33
5,35
5,58
5,61
5,73
5,86
5,87
5,90
6,3
6,16
6,28
6,30
6,35
6,57
6,59
6,76
6,78
6,82
6,85
7,6
7,7
7,10
7,17
7,18
7,24
7,26
7,27
7,29
7,31
7,33
7,35
7,36
7,57
7,58
7,61
7,73
7,80
7,85
7,86
7,87
7,88
7,90
8,3
8,6
8,7
8,10
8,16
8,18
8,26
8,31
8,33
8,35
8,36
8,57
8,58
8,60
8,73
8,80
8,86
