Id,Type,Name,Description,Link
1,Build Understanding,"Basic Concepts of Intercultural Communication: Paradigms, Principles and Practices, Second Edition",,
2,Build Understanding,Communication Skills for Dummies,,
3,Build Understanding,Crisis Communications: The Definitive Guide to Managing the Message,,
4,Build Understanding,How to Read a Client from Across the Room: Win More Business with the Proven Character Code System to Decode Verbal & Nonverbal Communication,,
5,Build Understanding,How to Succeed with People: The Remarkable Truth about How to Get the Most Out of Dealing with Others,,
6,Build Understanding,How To Talk To Absolutely Anyone: Confident Communication in Every Situation,,
7,Build Understanding,I Hear You: Repair Communication Breakdowns; Negotiate Successfully; and Build Consensus . . . in Three Simple Steps,,
8,Build Understanding,On Message: Precision Communication for the Digital Age,,
9,Build Understanding,The Snowball Effect: Communication Techniques to Make You Unstoppable,,
10,Build Understanding,Implosion: What the Internet has Really Done to Culture and Communications,,
11,Build Understanding,"Whoever Tells the Best Story Wins: How to Use Your Own Stories to Communicate with Power and Impact, Second Edition",,
12,Get Connected,Communicating Across Cultures,,
13,Get Connected,Culture and Its Effect on Communication  ,,
14,Get Connected,Improving Communication in Cross-Cultural Relationships,,
15,Get Connected,Interpersonal Communication: Being Approachable,,
16,Get Connected,Interpersonal Communication: Communicating Assertively,,
17,Get Connected,Interpersonal Communication: Communicating with Confidence,,
18,Get Connected,Interpersonal Communication: Listening Essentials,,
19,Get Connected,Interpersonal Communication: Targeting Your Message,,
20,Get Connected,Preparing to Communicate Effectively at the 'C' Level,,
21,Get Connected,Techniques for Communicating Effectively with Senior Executives,,
22,Get Connected,Powerless to Powerful: Taking Control,,
23,Get Connected,Business Writing Strategies,,
24,Get Connected,Note-taking for Business Professionals,,
25,Get Connected,Learning to Say No,,
26,Do Something,Volunteer to write an agenda for your team’s next meeting.,,
27,Do Something,Observe a presentation and observe the presenter’s communication skills. Identify which methods contributed to an impactful message and which detracted from the meaning of the message.,,
28,Do Something,Draft an important email you need to send and ask your supervisor to review it to ensure it is clear and delivers the intended meaning of the message.  ,,
